Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.007750988006591797,-0.75,20.0,20.0
0.18378496170043945,-0.5625,20.0,59.99999999999999
0.2136216163635254,-20.0,20.0,100.0
0.22004961967468262,-20.0,20.0,119.99999999999999
0.24964070320129395,-18.5,-20.0,119.99999999999999
0.2536001205444336,-18.5,-20.0,99.99999999999999
0.25862717628479004,-18.5,-20.0,79.99999999999999
0.26261067390441895,-18.0,-20.0,59.999999999999986
0.26761960983276367,-18.0,-20.0,39.99999999999998
0.2710847854614258,-17.4375,-20.0,19.999999999999982
0.2787356376647949,-17.4375,-20.0,-1.90833280887811e-14
0.28481483459472656,-16.9375,-20.0,-20.000000000000018
0.29087376594543457,-16.4375,-20.0,-40.00000000000002
0.34268951416015625,-14.5,4.5780524145745165,-75.42194758542551
0.3695998191833496,-13.625,-20.0,-90.843895170851
0.4205937385559082,-12.8125,20.0,-70.84389517085098
0.4256439208984375,-12.8125,20.0,-50.843895170850985
0.49069976806640625,-11.5625,-20.0,-30.843895170850985
0.49464941024780273,-11.5625,-20.0,-50.843895170850985
0.5467512607574463,-11.25,20.0,-30.843895170850985
0.57659912109375,-11.3125,20.0,9.156104829149013
0.6285827159881592,-11.75,20.0,69.15610482914902
0.6315884590148926,-12.0625,20.0,89.15610482914902
0.6367852687835693,-12.0625,20.0,109.15610482914902
0.6666181087493896,-13.3125,20.0,149.15610482914903
0.6706135272979736,-13.6875,20.0,169.15610482914903
0.6755824089050293,-13.6875,20.0,189.15610482914903
0.7037355899810791,-14.75,20.0,229.15610482914903
0.7315914630889893,-15.5625,20.0,269.156104829149
0.736579179763794,-15.5625,20.0,289.15610482914894
0.7395808696746826,-15.75,20.0,309.15610482914894
0.7915992736816406,-16.0,20.0,369.1561048291489
0.7945959568023682,-16.0,20.0,389.15610482914883
0.8216521739959717,-16.3125,20.0,429.15610482914883
0.8276286125183105,-16.3125,20.0,449.1561048291488
0.8316893577575684,-16.625,20.0,469.15610482914883
0.885685920715332,-18.8125,20.0,529.1561048291487
0.9156994819641113,-20.625,20.0,569.1561048291487
1.0186927318572998,-27.6875,20.0,669.1561048291486
