Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.7326507568359375,-27.625,40.0,1239.999999999999
0.9556305408477783,-25.375,40.0,1639.9999999999986
0.9847633838653564,-24.25,40.0,1719.9999999999986
0.990692138671875,-24.25,40.0,1759.9999999999986
1.020585298538208,-17.5,-31.995546627065583,1768.0044533729329
1.0235579013824463,-17.5,-31.995546627065583,1736.0089067458673
1.0265772342681885,-17.5,-31.995546627065583,1704.0133601188018
1.0556528568267822,-9.0,-40.0,1632.017813491736
1.083777666091919,2.0,-40.0,1552.0178134917362
1.1115994453430176,13.4375,-40.0,1472.0178134917362
1.116569995880127,13.4375,-40.0,1432.0178134917362
1.120560884475708,16.875,-40.0,1392.0178134917364
1.1496641635894775,22.5,-40.0,1312.0178134917364
1.1546411514282227,24.6875,-40.0,1272.0178134917364
1.2315471172332764,30.9375,-40.0,1112.0178134917367
1.234555721282959,30.9375,-40.0,1072.0178134917367
1.3096189498901367,35.25,-40.0,912.0178134917369
1.3146240711212158,36.0,-40.0,872.0178134917369
1.3438003063201904,38.1875,-40.0,792.017813491737
1.3496239185333252,38.1875,-40.0,752.0178134917371
1.3557140827178955,38.6875,-40.0,712.0178134917371
1.3606698513031006,39.0,-40.0,672.0178134917371
1.3895666599273682,39.1875,-40.0,592.0178134917372
1.4186227321624756,38.8125,-40.0,512.0178134917373
1.496567726135254,37.5625,-40.0,352.0178134917374
1.5975570678710938,35.6875,-40.0,152.01781349173734
1.6495554447174072,32.125,-40.0,32.01781349173734
1.653522253036499,31.3125,-40.0,-7.9821865082626555
1.6585426330566406,31.3125,-40.0,-47.98218650826266
1.6615445613861084,30.4375,-40.0,-87.98218650826266
1.6915977001190186,28.125,-40.0,-167.98218650826266
1.697516679763794,28.125,-40.0,-207.98218650826266
1.7256653308868408,25.1875,-40.0,-287.98218650826266
1.730628490447998,24.0,-40.0,-327.98218650826266
1.7356085777282715,24.0,-40.0,-367.98218650826266
1.740605115890503,22.75,-32.826198450588464,-400.8083849588511
1.745577096939087,22.75,-32.826198450588464,-433.63458340943953
1.7505066394805908,21.4375,-32.826198450588464,-466.46078186002796
1.754525899887085,21.4375,-40.0,-506.46078186002796
1.7595224380493164,21.4375,-40.0,-546.4607818600279
1.786597728729248,17.125,-18.145844136016567,-604.6066259960445
1.7916407585144043,15.4375,-18.145844136016567,-622.752470132061
1.8205933570861816,9.9375,40.0,-582.3335534597943
1.8725569248199463,0.0,40.0,-462.3335534597945
1.8770315647125244,0.0,40.0,-422.3335534597945
1.9065759181976318,-6.0,40.0,-342.3335534597945
1.9595756530761719,-13.9375,40.0,-222.33355345979447
1.9635555744171143,-14.875,40.0,-182.33355345979444
1.968550443649292,-14.875,40.0,-142.33355345979444
1.9725666046142578,-15.75,40.0,-102.33355345979444
2.000577926635742,-17.5,40.0,-22.33355345979444
2.0066027641296387,-17.5,40.0,17.66644654020556
2.0835139751434326,-16.4375,40.0,177.66644654020556
2.1345162391662598,-14.8125,40.0,297.6664465402056
2.1375253200531006,-14.8125,40.0,337.6664465402056
2.190511465072632,-10.75,10.745299861184172,420.52606992190624
2.2205650806427,-6.625,-34.09573938186495,397.1756304012255
2.225581645965576,-5.0625,-34.09573938186495,363.07989101936056
2.324655532836914,16.25,-40.0,168.98415163749556
2.3524832725524902,23.0,-40.0,88.98415163749553
2.3575170040130615,23.0,-40.0,48.984151637495536
2.4816129207611084,41.125,-40.0,-191.01584836250447
2.4866867065429688,41.125,-40.0,-231.01584836250447
2.4915897846221924,42.0,-40.0,-271.01584836250447
2.5217466354370117,44.6875,-40.0,-351.01584836250447
2.575612783432007,47.8125,-40.0,-471.0158483625044
2.581700563430786,48.0,-40.0,-511.0158483625044
2.5866284370422363,48.0,-40.0,-551.0158483625044
2.6405866146087646,47.125,-40.0,-671.0158483625042
2.6956214904785156,44.4375,-40.0,-791.0158483625041
2.7005465030670166,43.75,-40.0,-831.015848362504
2.7525157928466797,39.3125,-40.0,-951.0158483625039
2.7584683895111084,39.3125,-40.0,-991.0158483625039
2.787668228149414,36.0,-40.0,-1071.0158483625037
2.7925939559936523,34.75,-40.0,-1111.0158483625037
2.8224568367004395,30.5,-40.0,-1191.0158483625037
2.825472354888916,30.5,-40.0,-1231.0158483625037
2.8285129070281982,30.5,-40.0,-1271.0158483625034
2.952577590942383,5.5,40.0,-1269.7286195834552
2.981464147567749,0.0625,40.0,-1189.7286195834554
3.0595765113830566,-10.6875,40.0,-1029.7286195834554
3.064527988433838,-12.0,40.0,-989.7286195834555
3.069509506225586,-12.0,40.0,-949.7286195834556
3.0734410285949707,-13.3125,40.0,-909.7286195834556
3.1505613327026367,-21.25,40.0,-749.7286195834558
3.156607151031494,-22.125,40.0,-709.7286195834558
3.1615426540374756,-22.9375,40.0,-669.7286195834558
3.1914572715759277,-24.6875,40.0,-589.728619583456
3.19683837890625,-24.6875,40.0,-549.7286195834561
3.274522542953491,-25.625,40.0,-389.7286195834561
3.3265388011932373,-25.5,40.0,-269.72861958345607
3.3547518253326416,-25.9375,40.0,-189.72861958345607
3.410719633102417,-25.9375,40.0,-69.72861958345607
3.4404618740081787,-25.5625,40.0,10.271380416543936
3.4934513568878174,-24.625,40.0,130.27138041654393
3.523571729660034,-23.125,40.0,210.27138041654396
3.6995139122009277,-10.75,23.404149554800355,483.02509513166507
3.7745120525360107,-3.8125,-40.0,465.61762027869656
3.778568983078003,-3.8125,-40.0,425.61762027869656
3.903458833694458,8.4375,-40.0,185.61762027869653
3.909945011138916,8.4375,-40.0,145.61762027869653
3.916611909866333,8.75,-40.0,105.61762027869653
3.922638416290283,9.0,-40.0,65.61762027869653
3.975562572479248,2.25,40.0,25.61762027869653
4.0034050941467285,9.875,-40.0,25.61762027869653
4.008484125137329,9.875,-40.0,-14.382379721303469
4.037493944168091,8.375,-19.20758847215015,-73.58996819345361
4.0685272216796875,5.9375,9.356891911674627,-83.44066475392914
4.073511362075806,4.9375,9.356891911674627,-74.08377284225452
