Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.27258753776550293,-7.5625,35.17564122868211,413.9240534879611
0.49849462509155273,-6.75,31.40622928692341,736.8604699351771
0.5024757385253906,-6.8125,31.40622928692341,768.2666992221006
0.5085203647613525,-6.8125,31.40622928692341,799.672928509024
0.5375585556030273,-6.3125,13.818679321090324,847.2416078301143
0.5896415710449219,0.375,-40.0,781.0602871512046
0.5944929122924805,0.375,-40.0,741.0602871512048
0.5996053218841553,1.9375,-40.0,701.0602871512048
0.6045091152191162,1.9375,-40.0,661.0602871512049
0.6095077991485596,3.5,-40.0,621.0602871512049
0.6605124473571777,9.0,-40.0,501.060287151205
0.666583776473999,9.0,-40.0,461.06028715120505
0.6966345310211182,10.1875,-40.0,381.06028715120505
0.7015342712402344,10.375,-40.0,341.06028715120505
0.731609582901001,10.875,-40.0,261.06028715120505
0.7355341911315918,10.875,-40.0,221.06028715120502
0.7396852970123291,10.9375,-40.0,181.06028715120502
0.7924597263336182,9.5625,-15.254905615712943,100.08879448818415
0.8214931488037109,8.5625,-8.702053375478233,76.13183549699296
0.8254616260528564,8.5625,-8.702053375478233,67.42978212151473
0.8744246959686279,6.875,-4.014567570112548,49.69832018389751
0.9004240036010742,5.625,19.93642881149595,65.62018142528092
0.974440336227417,4.5625,-22.8125,56.52125916135411
1.0484340190887451,4.0,-12.37053344578383,-6.173185015340683
1.0514085292816162,3.9375,-12.37053344578383,-18.543718461124513
1.0564525127410889,3.9375,-12.37053344578383,-30.914251906908344
1.1366546154022217,2.875,-2.9214230698748795,-48.105604896483364
1.2174890041351318,1.875,0.044945385359498234,-46.4123832225316
1.2204442024230957,1.75,0.044945385359498234,-46.367437837172105
1.2234764099121094,1.75,0.044945385359498234,-46.3224924518126
1.2514846324920654,1.125,16.13880680679392,-30.13874025965918
1.2575092315673828,1.125,16.13880680679392,-13.99993345286526
1.261500358581543,0.9375,16.13880680679392,2.1388733539286617
1.2674708366394043,0.9375,7.651062251469843,9.789935605398504
1.3194401264190674,0.5,-2.5,27.397536207590058
1.3224945068359375,0.5,-2.5,24.897536207590058
1.3264532089233398,0.5,-2.5,22.397536207590058
1.4245023727416992,0.125,-3.3502544930075824,30.304900045291692
1.429565191268921,0.125,-3.3502544930075824,26.954645552284113
1.4334864616394043,0.1875,-3.3502544930075824,23.60439105927653
1.4374816417694092,0.1875,-5.752013732929154,17.852377326347376
1.4894630908966064,0.5,-5.2064165499065655,-4.069062881163939
1.4944519996643066,0.4375,-5.2064165499065655,-9.275479431070504
1.5224173069000244,0.1875,9.816444880438269,4.54333151942009
1.5264382362365723,0.1875,9.816444880438269,14.35977639985836
1.529430627822876,0.1875,9.816444880438269,24.17622128029663
1.5324671268463135,0.1875,-0.9375000000000001,23.23872128029663
1.6303963661193848,0.25,1.4496689169225456,14.081280672568267
1.6333978176116943,0.25,1.4496689169225456,15.530949589490811
1.6604673862457275,0.4375,-8.488465993527054,8.492152512886301
1.6664767265319824,0.4375,-8.488465993527054,0.00368651935924752
1.6704380512237549,0.5,-8.638216328648562,-8.634529809289315
1.6744296550750732,0.5,-8.638216328648562,-17.272746137937876
1.678445816040039,0.5,-8.638216328648562,-25.91096246658644
1.6824934482574463,0.5,-2.5,-28.41096246658644
1.7334315776824951,0.3125,1.1596243685151362,-27.180928861524638
1.8095033168792725,0.3125,-1.5625,-30.941771950184258
