Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.5711579322814941,-17.9375,40.0,639.9999999999999
0.5761494636535645,-17.9375,40.0,679.9999999999999
0.5810778141021729,-18.0,40.0,719.9999999999998
0.5849759578704834,-18.0,40.0,759.9999999999998
0.5890073776245117,-18.0,40.0,799.9999999999997
0.820213794708252,-17.375,40.0,1199.9999999999993
0.8261318206787109,-17.1875,40.0,1239.999999999999
0.977327823638916,9.625,-40.0,959.9999999999995
1.031320571899414,18.875,-40.0,839.9999999999997
1.0599606037139893,22.1875,-40.0,759.9999999999998
1.0649168491363525,22.1875,-40.0,719.9999999999998
1.1189477443695068,24.9375,-40.0,599.9999999999999
1.1229422092437744,25.125,-40.0,560.0
1.1259052753448486,25.125,-40.0,520.0
1.1289496421813965,25.125,-40.0,480.00000000000006
1.1319348812103271,25.1875,-40.0,440.00000000000006
1.1829373836517334,25.0,-40.0,320.00000000000006
1.2110817432403564,24.5625,-40.0,240.00000000000003
1.241278886795044,24.4375,-40.0,160.00000000000003
1.2719438076019287,24.25,-40.0,80.00000000000001
1.275913953781128,24.25,-40.0,40.000000000000014
1.305093765258789,24.0,-40.0,-39.999999999999986
1.432955265045166,21.9375,9.63963616689912,-230.36036383310085
1.4358928203582764,21.9375,9.63963616689912,-220.72072766620175
1.4399213790893555,21.5,9.63963616689912,-211.08109149930263
1.471015453338623,20.5625,-40.0,-291.08109149930266
1.4760689735412598,20.0,-40.0,-331.08109149930266
1.4809463024139404,19.4375,40.0,-291.08109149930266
1.484936237335205,19.4375,40.0,-251.08109149930263
1.4888966083526611,19.4375,40.0,-211.08109149930263
1.5419020652770996,14.375,40.0,-91.0810914993026
1.5469083786010742,14.375,40.0,-51.08109149930261
1.5760293006896973,11.6875,40.0,28.91890850069739
1.6300644874572754,8.375,40.0,148.9189085006974
1.635120153427124,8.125,40.0,188.9189085006974
1.760117530822754,8.0625,38.83297929311572,107.75188779381311
1.7899014949798584,7.8125,-40.0,106.58486708692882
1.8200509548187256,7.75,-40.0,26.584867086928824
1.8489067554473877,7.5625,-40.0,-53.415132913071176
1.851893424987793,7.5,-40.0,-93.41513291307118
1.8582205772399902,7.5,-40.0,-133.41513291307118
1.8641257286071777,7.375,-40.0,-173.41513291307118
1.8700292110443115,7.375,-40.0,-213.4151329130712
1.8750348091125488,7.25,-40.0,-253.4151329130712
1.9029066562652588,6.9375,-40.0,-333.4151329130712
1.9082129001617432,6.9375,-40.0,-373.4151329130712
1.9370098114013672,6.25,40.0,-373.4151329130712
1.9408948421478271,5.625,40.0,-333.4151329130712
1.9458873271942139,5.625,40.0,-293.4151329130712
1.9498794078826904,4.8125,40.0,-253.4151329130712
1.9780197143554688,2.5,40.0,-173.41513291307118
2.0320241451263428,-9.8125,40.0,-53.415132913071176
2.037961959838867,-9.8125,40.0,-13.415132913071176
2.041952610015869,-12.5,40.0,26.584867086928824
2.0958938598632812,-25.875,40.0,146.58486708692882
2.099888563156128,-28.1875,40.0,186.58486708692885
2.103917121887207,-28.1875,40.0,226.58486708692885
2.1339943408966064,-31.875,40.0,306.58486708692885
2.1618783473968506,-32.375,40.0,386.58486708692885
2.1919431686401367,-32.375,40.0,466.5848670869288
2.2222607135772705,-33.375,40.0,546.5848670869287
2.370865821838379,-34.4375,40.0,826.5848670869284
2.4000046253204346,-34.375,40.0,906.5848670869283
2.404923915863037,-34.375,40.0,946.5848670869283
2.4341235160827637,-33.75,40.0,1026.5848670869282
2.4628655910491943,-31.8125,-40.0,1026.5848670869282
2.4678587913513184,-31.8125,-40.0,986.5848670869282
2.4708516597747803,-30.8125,-40.0,946.5848670869283
2.5000040531158447,-28.4375,-40.0,866.5848670869284
2.506005048751831,-27.0,-40.0,826.5848670869284
2.6069343090057373,-17.25,40.0,706.5848670869285
2.6108782291412354,-17.0,40.0,746.5848670869285
2.642076253890991,-15.9375,-40.0,746.5848670869285
2.6718666553497314,-14.1875,-40.0,666.5848670869286
2.723853349685669,-12.6875,40.0,626.5848670869286
2.751999855041504,-12.5625,40.0,706.5848670869285
2.7818548679351807,-12.875,40.0,786.5848670869284
2.833860158920288,-12.75,40.0,906.5848670869283
2.8619747161865234,-12.5,40.0,986.5848670869282
2.9179227352142334,-10.875,-40.0,946.5848670869283
2.971989870071411,-6.75,-40.0,826.5848670869284
3.048834800720215,-4.125,40.0,746.5848670869285
3.051891326904297,-4.3125,40.0,786.5848670869284
3.0591907501220703,-4.3125,40.0,826.5848670869284
3.0649354457855225,-4.5625,40.0,866.5848670869284
3.070974111557007,-4.875,40.0,906.5848670869283
3.12392520904541,-5.5625,40.0,1026.5848670869282
3.1289560794830322,-5.5625,40.0,1066.5848670869282
3.133957862854004,-5.4375,40.0,1106.5848670869282
3.137838363647461,-5.4375,40.0,1146.584867086928
3.1408133506774902,-5.25,40.0,1186.584867086928
3.171003580093384,-4.8125,-40.0,1186.584867086928
3.1759769916534424,-4.625,-40.0,1146.584867086928
3.228926420211792,-2.6875,-40.0,1026.5848670869282
3.2339346408843994,-1.8125,-40.0,986.5848670869282
3.309826612472534,8.5,-40.0,826.5848670869284
3.312854051589966,9.625,-40.0,786.5848670869284
3.3202033042907715,9.625,-40.0,746.5848670869285
3.373912811279297,12.5,-40.0,626.5848670869286
3.4269027709960938,16.4375,-40.0,506.58486708692874
3.455810546875,19.125,-40.0,426.5848670869288
3.484931230545044,21.25,-40.0,346.5848670869288
3.513798236846924,23.0,-40.0,266.5848670869288
3.5440192222595215,25.125,-40.0,186.58486708692877
3.5498640537261963,25.125,-40.0,146.58486708692877
3.601863145828247,28.625,-40.0,26.584867086928746
3.606837272644043,28.625,-40.0,-13.415132913071252
3.610781192779541,28.875,-40.0,-53.415132913071254
3.6147780418395996,28.875,-40.0,-93.41513291307125
3.645892381668091,29.125,-40.0,-173.41513291307126
3.6519339084625244,29.0625,-40.0,-213.41513291307126
3.657888650894165,29.0625,-40.0,-253.41513291307123
3.6617939472198486,29.0625,-40.0,-293.41513291307126
3.6658005714416504,29.0625,-40.0,-333.41513291307126
3.6959638595581055,28.5625,-40.0,-413.41513291307126
3.700911521911621,28.125,-40.0,-453.41513291307126
3.7298009395599365,26.75,40.0,-453.4151329130712
3.8079590797424316,15.0625,40.0,-293.4151329130712
3.8129944801330566,13.4375,40.0,-253.4151329130712
3.818835735321045,13.4375,40.0,-213.4151329130712
3.822767496109009,11.9375,40.0,-173.41513291307118
3.8257713317871094,11.9375,40.0,-133.41513291307118
3.8287734985351562,11.9375,40.0,-93.41513291307118
3.8317811489105225,10.5,40.0,-53.415132913071176
3.860964775085449,7.6875,40.0,26.584867086928824
3.8678390979766846,6.4375,40.0,66.58486708692882
3.8950235843658447,3.4375,40.0,146.58486708692882
3.9238107204437256,1.8125,40.0,226.58486708692885
3.9278125762939453,1.8125,40.0,266.58486708692885
3.9808003902435303,2.25,-40.0,226.58486708692882
4.082882881164551,1.0625,40.0,266.58486708692885
4.112013339996338,1.5,-40.0,266.58486708692885
4.118948459625244,1.5,-40.0,226.58486708692882
4.223921060562134,1.0625,40.0,266.58486708692885
4.300786256790161,0.8125,26.961201097283237,397.1301347707459
4.330008029937744,0.6875,40.0,464.09133586802915
4.3597822189331055,0.5,40.0,544.0913358680291
4.387967348098755,0.3125,40.0,624.091335868029
4.441847324371338,0.0625,40.0,744.0913358680289
4.447806119918823,0.0625,40.0,784.0913358680288
4.500800609588623,0.375,-40.0,744.0913358680289
4.552805423736572,3.4375,-40.0,624.091335868029
4.582056283950806,4.9375,-40.0,544.0913358680291
4.6107800006866455,5.6875,-40.0,464.09133586802915
4.908828020095825,4.25,-40.0,201.12233785838174
4.936760663986206,4.1875,-40.0,121.12233785838174
4.940749168395996,4.1875,-40.0,81.12233785838173
5.042694807052612,3.625,-40.0,-118.87766214161827
5.046721696853638,3.625,-40.0,-158.8776621416183
5.052071571350098,3.625,-40.0,-198.8776621416183
5.059916973114014,3.625,-40.0,-238.87766214161826
5.064828157424927,3.5625,-40.0,-278.87766214161826
5.121986389160156,2.75,40.0,-318.87766214161826
5.150717496871948,0.0,40.0,-238.87766214161826
5.153764724731445,-1.125,40.0,-198.87766214161826
5.161123752593994,-1.125,40.0,-158.87766214161826
5.216916084289551,-7.4375,40.0,-38.87766214161824
5.2228429317474365,-8.0,40.0,1.1223378583817591
5.227980852127075,-8.0,40.0,41.122337858381755
5.232882499694824,-8.4375,40.0,81.12233785838175
5.262098550796509,-9.25,40.0,161.12233785838177
5.341801643371582,-9.5625,40.0,321.12233785838174
5.372910976409912,-9.3125,40.0,401.1223378583818
5.378834962844849,-9.3125,40.0,441.1223378583818
5.407715082168579,-9.4375,40.0,521.1223378583818
5.435840606689453,-9.75,40.0,601.1223378583817
5.440789461135864,-9.75,40.0,641.1223378583816
5.445790767669678,-9.8125,40.0,681.1223378583816
5.476099967956543,-9.6875,40.0,761.1223378583815
5.480812311172485,-9.6875,40.0,801.1223378583815
5.485914707183838,-9.5,40.0,841.1223378583813
5.490882158279419,-9.5,40.0,881.1223378583813
5.496787786483765,-9.25,40.0,921.1223378583813
5.721708297729492,7.6875,-40.0,521.1223378583818
5.84989595413208,11.25,-40.0,281.12233785838174
5.904924154281616,11.3125,-40.0,161.12233785838174
5.9346559047698975,11.5625,-40.0,81.12233785838173
5.937664985656738,11.5625,-40.0,41.122337858381734
5.942033052444458,11.5625,-40.0,1.1223378583817338
5.972692489624023,11.375,-40.0,-78.87766214161826
6.001780271530151,10.9375,-40.0,-158.8776621416183
6.007784366607666,10.6875,-40.0,-198.8776621416183
6.012770414352417,10.375,40.0,-158.8776621416183
6.019816637039185,10.375,40.0,-118.87766214161827
6.0237648487091064,10.0,40.0,-78.87766214161826
6.027681112289429,10.0,40.0,-38.877662141618266
6.031644582748413,10.0,40.0,1.1223378583817338
6.034652233123779,9.625,40.0,41.122337858381734
6.037665128707886,9.625,40.0,81.12233785838173
6.088677167892456,6.6875,40.0,201.12233785838174
6.092632532119751,6.125,40.0,241.12233785838174
6.09665584564209,6.125,40.0,281.12233785838174
6.101989984512329,6.125,40.0,321.12233785838174
6.131667613983154,5.0,40.0,401.1223378583818
6.134687900543213,4.8125,40.0,441.1223378583818
6.2117600440979,6.4375,-40.0,361.1223378583818
6.312870740890503,5.5,-40.0,321.12233785838174
6.368793725967407,5.9375,-40.0,201.12233785838174
6.423793315887451,5.5625,-40.0,81.12233785838173
6.4288554191589355,5.5625,-40.0,41.122337858381734
6.43382716178894,5.5625,-40.0,1.1223378583817338
6.4616539478302,5.75,-40.0,-78.87766214161826
6.489807844161987,5.75,-40.0,-158.8776621416183
6.519016265869141,5.4375,-5.337610990234443,-204.2152731318527
6.524914264678955,5.375,-5.337610990234443,-209.55288412208716
6.552643060684204,5.1875,-40.0,-289.55288412208716
6.604615211486816,1.8125,40.0,-249.55288412208714
6.609632253646851,1.8125,40.0,-209.55288412208714
6.6126251220703125,0.75,40.0,-169.55288412208714
6.616629123687744,0.75,40.0,-129.55288412208714
6.621642112731934,0.75,40.0,-89.55288412208712
6.651682615280151,-2.625,40.0,-9.552884122087127
6.682843208312988,-5.25,40.0,70.44711587791288
6.711642026901245,-6.0625,40.0,150.4471158779129
6.714628219604492,-6.0625,40.0,190.4471158779129
6.767639636993408,-6.1875,40.0,310.4471158779129
6.771605968475342,-6.1875,40.0,350.4471158779129
6.823608875274658,-6.5625,40.0,470.4471158779129
6.826619863510132,-6.5625,40.0,510.44711587791284
6.925647497177124,-6.625,40.0,710.4471158779127
6.928595781326294,-6.625,40.0,750.4471158779126
6.931618690490723,-6.625,40.0,790.4471158779126
7.035609722137451,-3.3125,-40.0,821.6865280752697
7.038614273071289,-3.3125,-40.0,781.6865280752698
7.068626165390015,-1.125,-40.0,701.68652807527
7.123683214187622,1.8125,-40.0,581.6865280752701
