Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.5714950561523438,3.9375,-40.0,-818.5140826825937
0.5753049850463867,3.9375,-40.0,-858.5140826825937
0.5793020725250244,3.9375,-40.0,-898.5140826825935
0.7773332595825195,11.5625,-40.0,-1258.5140826825932
0.8072490692138672,13.3125,-40.0,-1338.5140826825932
0.810636043548584,13.875,-40.0,-1378.5140826825932
0.8173718452453613,13.875,-40.0,-1418.5140826825932
0.8723225593566895,25.3125,-40.0,-1538.514082682593
0.8773908615112305,25.3125,-40.0,-1578.514082682593
0.8823976516723633,28.5625,-40.0,-1618.514082682593
0.8873894214630127,28.5625,-40.0,-1658.5140826825927
0.8912739753723145,32.0625,-40.0,-1698.5140826825927
0.8962368965148926,32.0625,-40.0,-1738.5140826825927
0.9002199172973633,35.625,-40.0,-1778.5140826825927
0.9042088985443115,35.625,-40.0,-1818.5140826825927
0.982367992401123,59.9375,-40.0,-1978.5140826825927
0.9874274730682373,59.9375,-40.0,-2018.5140826825925
1.0162286758422852,66.0625,-40.0,-2098.5140826825927
1.0205879211425781,68.0,-40.0,-2138.5140826825923
1.0745949745178223,78.75,-40.0,-2258.5140826825923
1.1042113304138184,87.5,-40.0,-2338.5140826825923
1.1343481540679932,83.25,-40.0,-2418.5140826825923
1.162214994430542,74.75,-40.0,-2498.5140826825923
1.167241096496582,74.75,-40.0,-2538.514082682592
1.220212459564209,58.9375,-40.0,-2658.514082682592
1.2231900691986084,55.5,-40.0,-2698.514082682592
1.2262139320373535,55.5,-40.0,-2738.514082682592
1.2292091846466064,55.5,-40.0,-2778.514082682592
1.2593028545379639,44.9375,40.0,-2698.514082682592
1.2632105350494385,41.5625,40.0,-2658.514082682592
1.3172543048858643,23.4375,40.0,-2538.514082682592
1.3211979866027832,20.125,40.0,-2498.5140826825923
1.3503453731536865,13.9375,40.0,-2418.5140826825923
1.5241944789886475,-19.3125,40.0,-2098.5140826825927
1.5271928310394287,-19.3125,40.0,-2058.5140826825927
1.5563633441925049,-21.9375,40.0,-1978.5140826825927
1.6831889152526855,-25.875,40.0,-1738.514082682593
1.6861777305603027,-25.875,40.0,-1698.514082682593
1.6891751289367676,-25.875,40.0,-1658.514082682593
1.718275785446167,-27.5625,40.0,-1578.5140826825932
1.7475271224975586,-28.875,40.0,-1498.5140826825932
1.7535417079925537,-29.125,40.0,-1458.5140826825932
1.8321688175201416,-27.5625,40.0,-1298.5140826825934
1.9113759994506836,-25.625,40.0,-1138.5140826825937
1.918414831161499,-25.375,40.0,-1098.5140826825937
1.9233484268188477,-25.0625,40.0,-1058.5140826825937
1.9283573627471924,-25.0625,40.0,-1018.5140826825938
2.006197452545166,-18.5625,40.0,-858.514082682594
2.011512041091919,-18.5625,40.0,-818.514082682594
2.0182857513427734,-17.375,40.0,-778.514082682594
2.04718279838562,-13.8125,-40.0,-778.514082682594
2.1481478214263916,-4.75,-40.0,-978.5140826825938
2.151139736175537,-3.75,-40.0,-1018.5140826825938
