Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.004765033721923828,-0.625,20.0,20.0
0.0342257022857666,-24.5,20.0,59.99999999999999
0.06475496292114258,-23.9375,20.0,100.0
0.06974387168884277,-23.9375,20.0,119.99999999999999
0.07276320457458496,-23.6875,20.0,140.0
0.10297369956970215,-23.0,20.0,180.0
0.1327648162841797,-22.0625,20.0,220.0
0.23478198051452637,-21.5625,20.0,319.9999999999999
0.2639622688293457,-21.75,20.0,359.99999999999983
0.26978230476379395,-21.75,20.0,379.99999999999983
0.3243730068206787,-20.9375,20.0,439.9999999999998
0.32775259017944336,-20.9375,20.0,459.9999999999998
0.3307352066040039,-20.625,20.0,479.9999999999998
0.3609611988067627,-19.625,20.0,519.9999999999997
0.36789751052856445,-19.0625,20.0,539.9999999999997
0.3728940486907959,-18.4375,20.0,559.9999999999997
0.400209903717041,-16.375,20.0,599.9999999999997
0.455064058303833,-12.0,-20.0,582.6775252384251
0.6328954696655273,-3.75,-20.0,502.67752523842523
0.6377887725830078,-3.75,-20.0,482.67752523842523
0.6417474746704102,-3.5,-20.0,462.67752523842523
0.6977741718292236,-2.4375,-0.4633867260825448,422.21413851234274
0.7761132717132568,-2.875,20.0,481.75075178626014
0.856724739074707,-3.3125,20.0,561.75075178626
0.8607139587402344,-3.3125,20.0,581.75075178626
0.8647139072418213,-3.3125,20.0,601.75075178626
0.8697333335876465,-3.3125,20.0,621.75075178626
0.8729090690612793,-3.3125,20.0,641.7507517862599
0.8801665306091309,-3.3125,20.0,661.7507517862599
0.8868846893310547,-3.3125,20.0,681.7507517862599
0.9918797016143799,3.5,-20.0,661.7507517862599
0.9988906383514404,3.5,-20.0,641.7507517862599
1.003706932067871,4.8125,-20.0,621.75075178626
1.0588135719299316,11.4375,-20.0,561.75075178626
1.0627408027648926,12.6875,-20.0,541.75075178626
1.0677101612091064,12.6875,-20.0,521.7507517862601
1.1478214263916016,23.75,-20.0,441.7507517862602
1.15289306640625,25.1875,-20.0,421.7507517862602
1.2079575061798096,31.6875,-20.0,361.75075178626025
1.2836930751800537,38.25,-20.0,281.75075178626037
1.3118011951446533,40.1875,-20.0,241.75075178626042
1.317697286605835,40.1875,-20.0,221.75075178626042
1.3707818984985352,42.6875,-20.0,161.7507517862604
1.3757774829864502,43.0625,-20.0,141.7507517862604
1.453059434890747,44.75,-20.0,61.75075178626039
1.4826960563659668,44.9375,-20.0,21.750751786260384
1.5346641540527344,44.8125,-20.0,-38.24924821373961
1.6121387481689453,42.875,-20.0,-118.2492482137396
1.6687910556793213,41.1875,-20.0,-178.24924821373963
1.6748383045196533,40.875,-20.0,-198.24924821373963
1.7027006149291992,39.75,-20.0,-238.2492482137396
1.7317757606506348,38.375,-20.0,-278.2492482137396
1.760662317276001,-2010.6875,20.0,-278.2492482137396
1.7888526916503906,35.375,-20.0,-278.2492482137396
1.7937228679656982,34.6875,-20.0,-298.2492482137395
1.7996726036071777,34.6875,-20.0,-318.2492482137395
1.8288161754608154,32.6875,-20.0,-358.24924821373946
1.8338418006896973,32.0,-20.0,-378.24924821373946
1.8857924938201904,28.75,-20.0,-438.24924821373935
1.89076828956604,28.75,-20.0,-458.24924821373935
1.921701192855835,26.4375,-20.0,-498.24924821373935
1.9250707626342773,26.4375,-20.0,-518.2492482137393
1.9756488800048828,22.4375,-20.0,-578.2492482137393
1.9799885749816895,22.4375,-20.0,-598.2492482137393
1.9857609272003174,21.4375,-20.0,-618.2492482137392
1.990821361541748,-2026.5625,20.0,-598.2492482137393
2.020655632019043,18.3125,-20.0,-598.2492482137393
2.02370548248291,17.25,-20.0,-618.2492482137392
2.0266542434692383,17.25,-20.0,-638.2492482137392
2.0299482345581055,17.25,-20.0,-658.2492482137392
2.0606722831726074,13.875,20.0,-618.2492482137392
2.0646536350250244,12.75,20.0,-598.2492482137393
2.0696513652801514,12.75,20.0,-578.2492482137393
2.220642566680908,-3.1875,20.0,-438.2492482137394
2.2236275672912598,-3.1875,20.0,-418.24924821373946
2.251791000366211,-5.3125,20.0,-378.2492482137395
2.2816543579101562,-7.0625,20.0,-338.2492482137395
2.3336429595947266,-8.625,20.0,-278.24924821373963
2.4107484817504883,-9.0,20.0,-198.24924821373966
2.4167158603668213,-9.1875,20.0,-178.24924821373963
2.4217214584350586,-9.375,20.0,-158.24924821373963
