Time (s),Pitch (deg),PID Correction (deg),Motor Position q (deg)
0.056609392166137695,1.875,20.0,-20.0
0.1086273193359375,2.0,-20.0,-40.0
0.26261067390441895,-0.0625,-20.0,20.000000000000007
0.2917051315307617,-5.0,20.0,20.000000000000007
0.29673171043395996,-5.0,20.0,40.00000000000001
0.3507347106933594,-10.5,20.0,100.00000000000001
0.37978148460388184,-14.0,20.0,140.00000000000003
0.3879430294036865,-14.0,20.0,160.00000000000003
0.5417170524597168,-27.375,20.0,299.99999999999994
0.5466992855072021,-27.375,20.0,319.99999999999994
0.5518028736114502,-28.25,20.0,339.99999999999994
0.5566937923431396,-28.25,20.0,359.9999999999999
0.5616514682769775,-29.3125,20.0,379.9999999999999
0.5675463676452637,-29.3125,20.0,399.99999999999983
0.6195833683013916,-37.75,20.0,459.9999999999998
0.6487703323364258,-39.5625,20.0,499.9999999999997
0.7275576591491699,-46.5625,20.0,579.9999999999997
0.7305395603179932,-47.0625,20.0,599.9999999999997
0.759676456451416,-47.4375,20.0,639.9999999999995
0.7667558193206787,-47.4375,20.0,659.9999999999995
0.8187124729156494,-46.1875,20.0,719.9999999999994
0.822556734085083,-46.25,20.0,739.9999999999994
0.8775558471679688,-49.25,20.0,799.9999999999994
0.8815340995788574,-50.1875,20.0,819.9999999999993
0.9117717742919922,-52.75,20.0,859.9999999999993
0.9415578842163086,-55.1875,20.0,899.9999999999993
0.9445850849151611,-55.1875,20.0,919.9999999999993
0.9727253913879395,-58.9375,20.0,959.9999999999993
1.04954195022583,-72.0,20.0,1039.9999999999993
1.1015381813049316,-77.5625,20.0,1099.999999999999
1.2286653518676758,-88.8125,20.0,1219.999999999999
1.2836995124816895,-82.4375,-20.0,1199.999999999999
1.362504482269287,-72.6875,-20.0,1119.999999999999
1.4165284633636475,-66.0625,-20.0,1059.999999999999
1.51759934425354,-49.8125,-20.0,959.9999999999993
1.618532419204712,-42.1875,-20.0,859.9999999999994
1.6225018501281738,-41.5,-20.0,839.9999999999994
1.676499843597412,-38.6875,20.0,819.9999999999994
1.704657793045044,-37.875,20.0,859.9999999999994
1.7315073013305664,-37.8125,20.0,899.9999999999994
1.7855029106140137,-38.4375,20.0,959.9999999999993
1.7907495498657227,-38.5,20.0,979.9999999999993
1.7966866493225098,-38.5,20.0,999.9999999999993
1.8016769886016846,-38.5,20.0,1019.9999999999992
1.8066582679748535,-38.5,20.0,1039.9999999999993
1.8116509914398193,-38.5625,20.0,1059.999999999999
1.8175325393676758,-38.5625,20.0,1079.999999999999
1.8467199802398682,-38.5625,20.0,1119.999999999999
1.8527233600616455,-38.5,20.0,1139.999999999999
1.8586370944976807,-38.5,20.0,1159.999999999999
1.8646528720855713,-38.4375,20.0,1179.999999999999
1.8925530910491943,-37.875,20.0,1219.999999999999
1.8988511562347412,-37.875,20.0,1239.999999999999
1.9536411762237549,-35.3125,-20.0,1259.999999999999
1.959671974182129,-35.3125,-20.0,1239.999999999999
1.9666905403137207,-34.75,-20.0,1219.999999999999
1.9725255966186523,-34.0625,-20.0,1199.999999999999
2.050589084625244,-30.0625,-20.0,1119.999999999999
2.056832790374756,-30.0625,-20.0,1099.999999999999
2.0864579677581787,-29.4375,20.0,1139.999999999999
2.115720748901367,-29.0625,20.0,1179.999999999999
2.1217477321624756,-29.0,20.0,1199.999999999999
2.152484893798828,-28.4375,20.0,1239.999999999999
2.203526258468628,-26.625,-20.0,1219.999999999999
2.328721523284912,-23.125,20.0,1179.999999999999
2.3584766387939453,-22.4375,-14.3543552868947,1185.6456447131043
2.362471342086792,-22.25,-14.3543552868947,1171.2912894262097
2.440678358078003,44.0625,-20.0,1176.9369341393149
2.5184693336486816,44.5625,-20.0,1096.936934139315
2.5224995613098145,44.5,-20.0,1076.936934139315
2.6016926765441895,44.125,-20.0,996.9369341393151
2.6294713020324707,44.5625,-20.0,956.9369341393152
2.6586220264434814,45.1875,-20.0,916.9369341393152
2.6877920627593994,46.6875,-20.0,876.9369341393152
2.74153470993042,51.25,-20.0,816.9369341393153
2.7444493770599365,51.25,-20.0,796.9369341393153
2.748473644256592,51.25,-20.0,776.9369341393153
2.850431203842163,65.875,-20.0,676.9369341393154
2.853450059890747,65.875,-20.0,656.9369341393156
2.8816428184509277,70.625,-20.0,616.9369341393156
2.911466598510742,74.8125,-20.0,576.9369341393156
3.0144548416137695,82.125,-20.0,476.9369341393157
3.0184566974639893,81.875,-20.0,456.9369341393157
3.0694539546966553,79.5625,-20.0,396.9369341393158
3.1694366931915283,71.9375,20.0,376.93693413931584
3.173447847366333,71.9375,20.0,396.9369341393158
3.178462028503418,71.9375,20.0,416.9369341393158
3.184715509414673,71.25,-20.0,396.9369341393158
3.1905345916748047,70.5,-20.0,376.93693413931584
3.195543050765991,70.5,-17.515522620311653,359.42141151900415
3.199475049972534,69.75,-17.515522620311653,341.9058888986925
3.2034666538238525,69.75,-17.515522620311653,324.3903662783809
3.207521915435791,69.75,-20.0,304.3903662783809
3.236708641052246,67.75,20.0,304.3903662783809
3.266465663909912,65.875,-20.0,304.3903662783809
3.2956721782684326,63.25,20.0,304.3903662783809
3.300511121749878,62.25,20.0,324.3903662783809
3.3545329570770264,57.8125,20.0,384.3903662783808
3.360527992248535,57.25,20.0,404.3903662783808
3.3665359020233154,57.25,-20.0,384.3903662783808
3.371492862701416,56.75,-20.0,364.39036627838084
3.377453088760376,56.75,-20.0,344.39036627838084
3.3813865184783936,56.25,-20.0,324.3903662783809
3.4354162216186523,52.8125,20.0,344.39036627838084
3.439425468444824,52.1875,20.0,364.39036627838084
3.4905436038970947,49.75,20.0,384.3903662783808
3.494467258453369,49.75,20.0,404.3903662783808
3.5214288234710693,47.625,20.0,444.3903662783807
3.5276260375976562,47.625,20.0,464.3903662783807
3.532592296600342,46.875,20.0,484.39036627838067
3.5384671688079834,46.875,20.0,504.39036627838067
3.542464256286621,46.3125,20.0,524.3903662783806
3.569411516189575,45.375,-20.0,524.3903662783806
3.6203911304473877,45.5625,-20.0,464.3903662783807
3.6734097003936768,44.3125,-20.0,404.3903662783808
3.6784164905548096,44.3125,-20.0,384.3903662783808
3.70548677444458,43.75,-20.0,344.39036627838084
3.7094078063964844,43.4375,-20.0,324.3903662783809
3.7396843433380127,42.4375,-20.0,284.3903662783809
3.768449306488037,39.6875,20.0,284.3903662783809
3.7966299057006836,37.625,20.0,324.3903662783809
3.8015122413635254,36.3125,20.0,344.39036627838084
3.806480884552002,36.3125,20.0,364.39036627838084
3.8104641437530518,35.0,20.0,384.3903662783808
3.8644440174102783,29.3125,20.0,444.3903662783807
3.869467258453369,28.5625,20.0,464.3903662783807
3.9214489459991455,25.6875,20.0,524.3903662783806
3.927452564239502,25.6875,20.0,544.3903662783806
3.931442975997925,25.375,20.0,564.3903662783806
3.9363691806793213,25.375,-20.0,544.3903662783806
3.965477466583252,24.8125,-20.0,504.39036627838067
3.970473527908325,24.625,-20.0,484.39036627838067
4.000390291213989,24.0,20.0,484.39036627838067
4.003410816192627,24.0,20.0,504.39036627838067
4.030447721481323,22.875,20.0,544.3903662783806
4.036423921585083,22.875,20.0,564.3903662783806
4.040419101715088,22.25,20.0,584.3903662783806
4.044349193572998,22.25,20.0,604.3903662783805
4.071480989456177,20.125,20.0,644.3903662783805
4.149351596832275,16.0625,20.0,724.3903662783804
4.201354503631592,15.0,20.0,749.5491563246899
4.2043657302856445,15.0,20.0,769.5491563246899
4.255351543426514,13.625,20.0,829.5491563246899
4.285490274429321,12.9375,20.0,869.5491563246898
4.29148006439209,12.875,20.0,889.5491563246898
4.2954185009002686,12.875,-20.0,869.5491563246898
4.325382232666016,12.9375,-20.0,829.5491563246899
4.329607963562012,13.0625,-20.0,809.5491563246899
4.550436496734619,18.1875,-20.0,680.2097607762676
4.554417133331299,18.1875,-20.0,660.2097607762677
4.559429168701172,19.0,-20.0,640.2097607762677
4.565411329269409,19.0,-20.0,620.2097607762677
4.666431665420532,26.0625,-20.0,520.2097607762678
4.670396327972412,26.5625,-20.0,500.2097607762678
4.699711084365845,28.3125,-20.0,460.20976077626784
4.704540014266968,28.3125,-20.0,440.20976077626784
4.733401775360107,31.125,-20.0,400.2097607762679
4.738345384597778,31.125,-20.0,380.20976077626796
4.741333484649658,32.25,-20.0,360.20976077626796
4.7443318367004395,32.25,-20.0,340.20976077626796
4.748360872268677,32.25,-20.0,320.209760776268
4.751343250274658,33.1875,-20.0,300.209760776268
4.802342653274536,32.5,20.0,280.20976077626807
4.830415487289429,27.9375,20.0,320.209760776268
4.836397886276245,27.9375,20.0,340.20976077626796
4.865543603897095,21.9375,20.0,380.20976077626796
4.870493412017822,20.0,20.0,400.2097607762679
4.8764002323150635,20.0,20.0,420.2097607762679
4.880383014678955,18.1875,20.0,440.20976077626784
4.8864123821258545,18.1875,20.0,460.20976077626784
4.890383958816528,16.625,20.0,480.20976077626784
4.894396781921387,16.625,20.0,500.2097607762678
4.898325681686401,16.625,20.0,520.2097607762678
5.021346569061279,8.5,-6.941046267013305,613.2687145092543
5.051430702209473,8.125,20.0,626.327668242241
5.055380582809448,8.125,20.0,646.327668242241
5.059349775314331,7.875,20.0,666.327668242241
5.089463233947754,7.1875,20.0,706.327668242241
5.093399524688721,6.8125,20.0,726.3276682422409
5.097408056259155,6.8125,20.0,746.3276682422409
5.101397752761841,6.3125,20.0,766.3276682422409
