Time (s),Pitch (deg),kp,ki,kd,Correction (deg)
0.028232574462890625,-1.5625,5,0,1,7.812500000000001
0.0546109676361084,-1.9375,5,0,1,23.495522969749846
0.07887554168701172,-2.375,5,0,1,29.527007082035066
0.10518860816955566,-2.625,5,0,1,22.74696603994983
0.12950491905212402,-3.0,5,0,1,30.366597222440742
0.15582871437072754,-3.125,5,0,1,20.423237380832973
0.17955589294433594,-3.1875,5,0,1,18.52316440623404
0.2050626277923584,-3.25,5,0,1,18.691518693454746
0.22999238967895508,-3.25,5,0,1,16.25
0.2558004856109619,-23.1875,5,0,1,59.99999999999999
0.2816329002380371,-23.0625,5,0,1,59.99999999999999
0.3063664436340332,-22.75,5,0,1,59.99999999999999
0.31188011169433594,-22.125,5,0,1,59.99999999999999
0.33803415298461914,-22.125,5,0,1,59.99999999999999
0.36342287063598633,-21.5625,5,0,1,59.99999999999999
0.3919408321380615,-21.125,5,0,1,59.99999999999999
0.41787123680114746,-20.8125,5,0,1,59.99999999999999
0.4421379566192627,-20.375,5,0,1,59.99999999999999
0.46882176399230957,-19.875,5,0,1,59.99999999999999
0.4932844638824463,-19.0,5,0,1,59.94834367112502
0.5194430351257324,-18.1875,5,0,1,59.691499489296916
0.5238778591156006,-17.5,5,0,1,59.20414396179681
0.5481095314025879,-17.5,5,0,1,59.20414396179681
0.5728552341461182,-16.125,5,0,1,33.96696569034661
0.577887773513794,-14.8125,5,0,1,20.01199644697856
0.6024394035339355,-13.8125,5,0,1,20.01199644697856
0.6092603206634521,-10.625,5,0,1,-59.99999999999999
0.6344528198242188,-8.625,5,0,1,-59.99999999999999
0.6592831611633301,-2.3125,5,0,1,-59.99999999999999
0.6858313083648682,1.75,5,0,1,-59.99999999999999
0.6908602714538574,6.375,5,0,1,-59.99999999999999
0.697023868560791,6.375,5,0,1,-59.99999999999999
0.7239928245544434,7.625,5,0,1,-59.99999999999999
0.7475736141204834,10.0625,5,0,1,-59.99999999999999
0.7719216346740723,13.375,5,0,1,-59.99999999999999
0.7959165573120117,14.6875,5,0,1,-59.99999999999999
0.8019552230834961,15.9375,5,0,1,-59.99999999999999
0.8280985355377197,15.9375,5,0,1,-59.99999999999999
0.855032205581665,17.4375,5,0,1,-59.99999999999999
0.8598778247833252,18.625,5,0,1,-59.99999999999999
0.8850178718566895,18.625,5,0,1,-59.99999999999999
0.8898754119873047,17.875,5,0,1,-59.99999999999999
0.8981029987335205,17.875,5,0,1,-59.99999999999999
0.904865026473999,17.4375,5,0,1,-57.69597832483949
0.9295251369476318,17.0625,5,0,1,-57.69597832483949
0.9371533393859863,16.625,5,0,1,-57.34588780648898
0.9616894721984863,16.5625,5,0,1,-57.34588780648898
0.9883263111114502,16.1875,5,0,1,-59.99999999999999
1.0126800537109375,14.4375,5,0,1,-2.2667621486033203
1.0381042957305908,12.625,5,0,1,7.8104033455187825
1.0632851123809814,10.0625,5,0,1,52.20136397342159
1.0698156356811523,8.1875,5,0,1,31.349293282054948
1.0935606956481934,8.1875,5,0,1,31.349293282054948
1.0988249778747559,6.9375,5,0,1,7.702604672338429
1.1051197052001953,6.25,5,0,1,7.702604672338429
1.1101479530334473,5.5,5,0,1,59.99999999999999
1.1158490180969238,5.5,5,0,1,59.99999999999999
1.1210262775421143,4.8125,5,0,1,40.955812947929125
1.145618200302124,4.8125,5,0,1,40.955812947929125
1.1519973278045654,2.9375,5,0,1,46.232032089054265
1.158876657485962,2.9375,5,0,1,46.232032089054265
1.1840543746948242,2.5,5,0,1,20.94807104444191
1.1888325214385986,2.0625,5,0,1,7.528027137360062
1.1948275566101074,2.0625,5,0,1,7.528027137360062
1.2196044921875,2.125,5,0,1,-16.169213327401017
1.2437429428100586,2.375,5,0,1,-22.240360292060476
1.2691946029663086,2.625,5,0,1,-22.949150458009917
1.2728488445281982,2.625,5,0,1,-13.125000000000002
1.2965726852416992,2.625,5,0,1,-13.125000000000002
1.3210813999176025,2.25,5,0,1,2.0758395923341855
1.3258888721466064,1.875,5,0,1,6.027934607572314
1.3499512672424316,1.75,5,0,1,6.027934607572314
1.356926441192627,1.5,5,0,1,4.655960388297877
1.3619060516357422,1.375,5,0,1,4.655960388297877
1.3688066005706787,1.375,5,0,1,3.5792794218799657
1.3927574157714844,1.3125,5,0,1,3.5792794218799657
1.419130563735962,1.0625,5,0,1,5.052554912005426
1.4258027076721191,0.5625,5,0,1,16.179981522137737
1.4307832717895508,0.375,5,0,1,16.179981522137737
1.434781551361084,0.375,5,0,1,16.59148043426888
1.4399988651275635,0.25,5,0,1,16.59148043426888
1.4651591777801514,0.25,5,0,1,10.480523413767703
1.4895446300506592,0.0625,5,0,1,7.381973508967315
1.4948158264160156,0.1875,5,0,1,-5.9450650285018
1.5188279151916504,0.3125,5,0,1,-5.9450650285018
1.5427403450012207,0.5,5,0,1,-13.625394337140994
1.5489232540130615,0.5625,5,0,1,-5.243919101173559
1.5547921657562256,0.5625,5,0,1,-5.243919101173559
1.5597805976867676,0.5,5,0,1,3.40294017434306
1.5658273696899414,0.5,5,0,1,3.40294017434306
1.570866584777832,0.4375,5,0,1,3.3458875750840362
1.5769309997558594,0.4375,5,0,1,3.3458875750840362
1.5828700065612793,0.3125,5,0,1,9.5188638052836
1.6082844734191895,0.3125,5,0,1,9.5188638052836
1.6143789291381836,-0.0625,5,0,1,12.146860608727817
1.6410064697265625,-0.25,5,0,1,12.146860608727817
1.6490528583526611,-0.5,5,0,1,15.63131576880665
1.6753525733947754,-0.5625,5,0,1,15.63131576880665
1.6859312057495117,-0.375,5,0,1,-1.7386196456254372
1.7098581790924072,-0.25,5,0,1,-1.7386196456254372
1.7158122062683105,-0.125,5,0,1,-6.717028115742472
1.7198150157928467,-0.125,5,0,1,-6.717028115742472
1.7251689434051514,-0.125,5,0,1,-6.717028115742472
1.7518444061279297,-0.1875,5,0,1,5.022185663768576
1.758007287979126,-0.3125,5,0,1,6.25788202017461
1.7831964492797852,-0.4375,5,0,1,6.25788202017461
1.808997392654419,-0.5625,5,0,1,10.790711186555868
1.8160731792449951,-0.5625,5,0,1,2.8125
1.8229131698608398,-0.5625,5,0,1,2.8125
1.8287696838378906,-0.5625,5,0,1,2.8125
1.8327863216400146,-0.5,5,0,1,2.8125
1.8565456867218018,-0.5,5,0,1,2.8125
1.880317211151123,-0.3125,5,0,1,-6.2586330646889765
1.8881230354309082,-0.0625,5,0,1,-9.276163223975292
1.8940463066101074,0.0,5,0,1,-9.276163223975292
1.9009110927581787,0.1875,5,0,1,-20.070946219966412
1.9288029670715332,0.1875,5,0,1,-20.070946219966412
1.9338960647583008,1.4375,5,0,1,-44.79094293493923
1.9398777484893799,1.4375,5,0,1,-44.79094293493923
1.9666037559509277,1.9375,5,0,1,-46.89469241843895
1.9914820194244385,3.0,5,0,1,-57.10907117471201
1.9978950023651123,2.875,5,0,1,-9.505890050443304
2.0049328804016113,2.625,5,0,1,-9.505890050443304
2.0306153297424316,2.4375,5,0,1,21.056966126215805
2.036949872970581,2.5,5,0,1,-14.888896074701131
2.0614116191864014,2.75,5,0,1,-14.888896074701131
2.0888831615448,3.4375,5,0,1,-46.00147971286611
2.116041898727417,4.4375,5,0,1,-59.99999999999999
2.1441850662231445,4.5,5,0,1,-24.667198722640272
2.169613838195801,3.9375,5,0,1,2.042035846732477
2.1738409996032715,4.0625,5,0,1,-25.55408507550886
2.177851915359497,4.0625,5,0,1,-25.55408507550886
2.183894634246826,4.25,5,0,1,-25.55408507550886
2.210017681121826,4.25,5,0,1,-33.71407852592165
2.236938714981079,5.375,5,0,1,-59.99999999999999
2.24214243888855,6.1875,5,0,1,-59.99999999999999
2.2501301765441895,6.1875,5,0,1,-59.99999999999999
2.2558107376098633,6.0625,5,0,1,-21.79424732731678
2.279310941696167,5.75,5,0,1,-21.79424732731678
2.283738851547241,4.5625,5,0,1,32.75586097676006
2.3072447776794434,4.5625,5,0,1,32.75586097676006
2.311782121658325,2.4375,5,0,1,59.99999999999999
2.317852020263672,2.4375,5,0,1,59.99999999999999
2.3420450687408447,1.75,5,0,1,54.87057815452439
2.348818063735962,0.5625,5,0,1,43.48689375363679
2.3751649856567383,-0.0625,5,0,1,43.48689375363679
2.380810260772705,-2.625,5,0,1,59.99999999999999
2.3857576847076416,-2.625,5,0,1,59.99999999999999
2.3898603916168213,-3.625,5,0,1,59.99999999999999
2.415968656539917,-3.625,5,0,1,59.99999999999999
2.4208288192749023,-5.875,5,0,1,59.99999999999999
2.444474935531616,-5.875,5,0,1,59.99999999999999
2.4497079849243164,-6.0,5,0,1,34.364352180764946
2.475390672683716,-6.0,5,0,1,34.364352180764946
2.4799821376800537,-5.25,5,0,1,1.316993326299593
2.484917163848877,-4.75,5,0,1,1.316993326299593
2.4899344444274902,-4.25,5,0,1,-59.99999999999999
2.518388271331787,-4.25,5,0,1,-59.99999999999999
2.5278279781341553,-3.0,5,0,1,-17.99296732541077
2.552847385406494,-2.75,5,0,1,-17.99296732541077
2.582900285720825,-3.0625,5,0,1,17.301885719922065
2.5882625579833984,-5.5625,5,0,1,59.99999999999999
2.5980896949768066,-6.4375,5,0,1,59.99999999999999
2.6253345012664795,-7.1875,5,0,1,59.99999999999999
2.631812334060669,-8.5625,5,0,1,59.99999999999999
2.658015251159668,-8.5625,5,0,1,59.99999999999999
2.6637983322143555,-10.5625,5,0,1,59.99999999999999
2.689796209335327,-11.5625,5,0,1,59.99999999999999
2.7188048362731934,-13.375,5,0,1,59.99999999999999
2.744361400604248,-13.5625,5,0,1,59.99999999999999
2.769385814666748,-10.5625,5,0,1,-59.99999999999999
2.794037342071533,-8.75,5,0,1,-30.075841240730846
2.819509983062744,-7.3125,5,0,1,-19.63608684225112
2.8236947059631348,-5.125,5,0,1,-59.99999999999999
2.8471732139587402,-5.125,5,0,1,-59.99999999999999
2.8713605403900146,-2.8125,5,0,1,-59.99999999999999
2.8757998943328857,-1.25,5,0,1,-59.75130870773299
2.900515556335449,-0.5625,5,0,1,-59.75130870773299
2.90777587890625,0.5,5,0,1,-56.96822793525967
2.912795305252075,1.0,5,0,1,-56.96822793525967
2.9389264583587646,1.0,5,0,1,-47.07057220593258
2.945277452468872,2.1875,5,0,1,-58.37392001756264
2.9704649448394775,2.4375,5,0,1,-58.37392001756264
2.9959030151367188,2.75,5,0,1,-31.624202790620366
3.0195603370666504,2.875,5,0,1,-19.523703198118874
3.024707794189453,2.625,5,0,1,-2.8143814813124823
3.0297484397888184,2.625,5,0,1,-2.8143814813124823
3.0545666217803955,2.3125,5,0,1,18.729952542608807
3.0597198009490967,1.0,5,0,1,48.39742489002069
3.0660042762756348,1.0,5,0,1,48.39742489002069
3.070774555206299,0.5625,5,0,1,35.725854297632665
3.075690269470215,0.5625,5,0,1,35.725854297632665
3.099271059036255,0.0625,5,0,1,35.725854297632665
3.125525712966919,-0.6875,5,0,1,38.8647490812003
3.131742477416992,-1.3125,5,0,1,31.489430194385953
3.1570305824279785,-1.3125,5,0,1,31.489430194385953
3.1627886295318604,-1.25,5,0,1,4.252344895532664
3.1894302368164062,-1.25,5,0,1,4.252344895532664
3.2150115966796875,-0.8125,5,0,1,-9.334082759880605
3.2240583896636963,-0.4375,5,0,1,-11.798905736026661
3.2307493686676025,-0.4375,5,0,1,-11.798905736026661
3.236685037612915,-0.4375,5,0,1,2.1875
3.2610297203063965,-0.4375,5,0,1,2.1875
3.267822504043579,-0.625,5,0,1,8.99018354817562
3.291325330734253,-0.75,5,0,1,8.99018354817562
3.3174731731414795,-1.0625,5,0,1,19.753469919437816
3.3425052165985107,-1.5,5,0,1,25.07055985331895
3.350989580154419,-1.75,5,0,1,17.97600702173944
3.3768534660339355,-1.875,5,0,1,17.97600702173944
3.401298999786377,-2.0,5,0,1,17.904114366489846
3.4087634086608887,-2.0625,5,0,1,12.652204855079024
3.416761875152588,-2.0625,5,0,1,12.652204855079024
3.4405994415283203,-2.0,5,0,1,5.18065711652882
3.465825319290161,-1.9375,5,0,1,7.188519084286041
3.470792531967163,-1.875,5,0,1,6.816998754274128
3.477757692337036,-1.875,5,0,1,6.816998754274128
3.5041329860687256,-1.875,5,0,1,9.374999999999998
3.5097169876098633,-1.9375,5,0,1,12.16120530432567
3.5157532691955566,-2.0,5,0,1,12.16120530432567
3.5405964851379395,-2.125,5,0,1,26.80935141581935
3.5664572715759277,-2.375,5,0,1,21.50779143979541
3.5903823375701904,-2.875,5,0,1,35.088527154732496
3.617412567138672,-3.0,5,0,1,19.71977809061919
3.6228466033935547,-2.875,5,0,1,9.32768974419463
3.6473450660705566,-2.875,5,0,1,9.32768974419463
3.6713178157806396,-2.75,5,0,1,9.511814949477078
3.6953787803649902,-2.75,5,0,1,13.75
3.700688123703003,-2.1875,5,0,1,-11.291031832973143
3.725724220275879,-2.1875,5,0,1,-11.291031832973143
3.7509958744049072,-1.25,5,0,1,-24.88972489139557
3.7576370239257812,-0.5,5,0,1,-25.661987603722658
3.7616655826568604,0.0,5,0,1,-25.661987603722658
3.7668614387512207,0.0,5,0,1,-25.661987603722658
3.790220260620117,0.4375,5,0,1,-59.99999999999999
3.796708345413208,1.6875,5,0,1,-56.5957865034914
3.8017256259918213,2.25,5,0,1,-56.5957865034914
3.828007936477661,2.25,5,0,1,-59.99999999999999
3.8316187858581543,3.8125,5,0,1,-59.99999999999999
3.835601568222046,3.8125,5,0,1,-59.99999999999999
3.8605403900146484,4.1875,5,0,1,-59.99999999999999
3.8863978385925293,4.6875,5,0,1,-48.28176761334037
3.891627550125122,4.9375,5,0,1,-35.029166316917916
3.8976807594299316,4.9375,5,0,1,-35.029166316917916
3.921844482421875,4.8125,5,0,1,-12.938570166782084
3.9451043605804443,4.1875,5,0,1,5.881836922286813
3.9716110229492188,3.0,5,0,1,30.589569105711046
3.9964146614074707,1.9375,5,0,1,33.123439279295475
4.019940614700317,0.25,5,0,1,59.99999999999999
4.024605751037598,-0.6875,5,0,1,42.99406812722437
4.029689788818359,-1.1875,5,0,1,42.99406812722437
4.033594846725464,-1.1875,5,0,1,42.99406812722437
4.0376763343811035,-1.1875,5,0,1,43.62444420484878
4.041675090789795,-1.75,5,0,1,43.62444420484878
4.0677266120910645,-1.75,5,0,1,59.99999999999999
4.074760675430298,-3.0625,5,0,1,59.99999999999999
4.100066661834717,-3.25,5,0,1,59.99999999999999
4.106620788574219,-3.5,5,0,1,31.422375960288456
4.131706237792969,-3.5625,5,0,1,31.422375960288456
4.140732765197754,-3.625,5,0,1,21.832510520529258
4.166489839553833,-3.5,5,0,1,21.832510520529258
4.170687675476074,-2.3125,5,0,1,-30.871077468614164
4.1756250858306885,-2.3125,5,0,1,-30.871077468614164
4.181723117828369,-1.75,5,0,1,-43.725568775938285
4.205429792404175,-1.75,5,0,1,-43.725568775938285
4.210875511169434,-0.0625,5,0,1,-57.285972393734625
4.239394903182983,-0.0625,5,0,1,-57.285972393734625
4.2659101486206055,1.5625,5,0,1,-53.57331007777251
4.269596815109253,2.5625,5,0,1,-54.33709545219495
4.293987035751343,2.5625,5,0,1,-54.33709545219495
4.3188581466674805,2.1875,5,0,1,1.8520393988547967
4.3426759243011475,1.875,5,0,1,3.681321502758167
4.368945360183716,1.5,5,0,1,6.86572012749893
4.3932929039001465,1.0,5,0,1,15.778115491606169
4.417879581451416,0.625,5,0,1,11.8302514947984
4.442206144332886,0.375,5,0,1,8.582144092844791
4.4689247608184814,0.5,5,0,1,-7.180392823636835
4.493067026138306,0.5,5,0,1,-2.5
4.499622106552124,0.25,5,0,1,8.382083313517294
4.5066282749176025,0.0625,5,0,1,8.382083313517294
4.512685060501099,0.0,5,0,1,20.881325580938153
4.5187764167785645,0.0,5,0,1,20.881325580938153
4.542587995529175,-0.125,5,0,1,11.278576460957389
4.5485711097717285,-0.3125,5,0,1,8.888135802541482
4.572743654251099,-0.375,5,0,1,8.888135802541482
